Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
THE HELP GROUP CHILD & FAMILY CENTER,91401,2,SA 2 San Fernando Valley,OUTPATIENT,"COMMUNITY OUTREACH, DAY REHABILITATION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CZECH, ENGLISH, FARSI, FRENCH, ITALIAN, KOREAN, PORTUGUESE, RUSSIAN, SLOVAK, SPANISH, TAGALOG, TURKISH",NGA,(818) 782-4655,"13130 BURBANK BLVD.
SHERMAN OAKS, California 91401
(34.172103555000035, -118.41910930899996)"
SAN FERNANDO VALLEY CMHC-YOUTH & FAMILY CENTER,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARABIC, ENGLISH, FRENCH, JAPANESE, RUSSIAN, SPANISH",NGA,(818) 908-4990,"14624 SHERMAN WAY STE. 508
VAN NUYS, California 91405
(34.20115257900005, -118.45189979199995)"
TIES FOR FAMILIES,90501,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZE FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",DMH,(310) 533-6600,"21081 SOUTH WESTERN AVE. STE. 295
TORRANCE, California 90501
(33.83869081200004, -118.30935216099999)"
HOMES FOR LIFE FOUNDATION-MARIPOSA,90502,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(310) 337-7417,"21218 MARIPOSA AVE.
TORRANCE, California 90502
(33.836390857000026, -118.29817617999998)"
STAR VIEW ADOLESCENT CENTER,90505,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, LIFE SUPPORT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, KOREAN, RUSSIAN, VISAYAN",NGA,(310) 373-4556,"4025 WEST 226TH ST.
TORRANCE, California 90505
(33.82363740200003, -118.35628690399994)"
SOUTH BAY CHILDERN'S HEALTH CENTER,90277,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH,  SPANISH",NGA,(310) 316-1212,"410 SOUTH CAMINO REAL
REDONDO BEACH, California 90277
(33.83681374500003, -118.38162673299996)"
SHIELDS FOR FAMILIES,90222,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 898-2450,"3209 N. ALAMEDA ST. STE. D
COMPTON, California 90222
(33.921329480000054, -118.22390050699994)"
1736 FAMILY CRISIS CENTER,90018,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"AMERICAN SIGN, ARMENIAN, ENGLISH, FRENCH, GERMAN, ITALIAN, KOREAN, MANDARIN, SPANISH",NGA,(323) 737-3900,"2116 ARLINGTON AVE.
LOS ANGELES, California 90018
(34.03746057700005, -118.31767624499997)"
HILLVIEW MHC AB 109,91331,2,SA 2 San Fernando Valley,OUTPATIENT,"AB019, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, GERMAN, GREEK, HEBREW, ITALIAN, JAPANESE, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, YIDDISH",NGA,(818) 896-1161,"12408 VAN NUYS BLVD BUILDING D
PACOIMA, California 91331
(34.279407494000054, -118.40381276699998)"
CHILD & FAMILY GUIDANCE CENTER,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, RUSSIAN, SAMOAN, SPANISH, TAGALOG, THAI, VIETNAMESE",NGA,(818) 739-5400,"6851 LENNOX AVE. STE. 100
VAN NUYS, California 91405
(34.19542113000006, -118.44549310499997)"
JFSLA SOUTH BAY FAMILY HEALTH CARE CENTER,90278,8,SA 8 Harbor,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",OLDER ADULT,ENGLISH,NGA,(626) 577-8480,"2114 ARTESIA BLVD.
REDONDO BEACH, California 90278
(33.87275729300006, -118.37449687599997)"
SSG-PACS-LONG BEACH,90807,8,SA 8 Harbor,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/OLDER ADULT,"CAMBODIAN, CANTONESE, ENGLISH, FRENCH, HEBREW, JAPANESE, KOREAN, MANDARIN, SAMOAN, SPANISH, TAGALOG, TAIWANESE, VIETNAMESE",NGA,(310) 337-1550,"3530 ATLANTIC AVE. STE. 210
LONG BEACH, California 90807
(33.820430602000044, -118.18499675499999)"
SOUTH BAY MENTAL HEALTH SERVICES (MHS),90250,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, DAY REHABILITATION HALF DAY, DUAL DIAGNOSIS, FSP, LIFE SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, KOREAN, MANDARIN, OTHER CHINESE, SPANISH, TAGALOG, TAIWANESE, URDU",DMH,(323) 241-6730,"2311 WEST EL SEGUNDO BLVD.
HAWTHORNE, California 90250
(33.91648827100005, -118.31895988699995)"
PACIFIC CLINICS-PACS,90807,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"CAMBODIAN, CEBUANO, ENGLISH, FRENCH, HEBREW, JAPANESE, KOREAN, MANDARIN, SAMOAN, SPANISH, VIETNAMESE",NGA,(562) 424-1886,"3530 ATLANTIC AVE. STE. 210
LONG BEACH, California 90807
(33.820430602000044, -118.18499675499999)"
HARBOR UCLA WELLNESS CENTER,90502,8,SA 8 Harbor,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, HEBREW, KOREAN, OTHER SIGN, SPANISH, TAGALOG, VIETNAMESE",DMH,(310) 781-3400,"21730 SOUTH VERMONT AVE. STE. 210
TORRANCE, California 90502
(33.83049117400003, -118.29019662799999)"
MHA VILLAGE INTEGRATED SERVICE,90802,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(562) 285-1330,"100 WEST BROADWAY ST. STE. 5005
LONG BEACH, California 90802
(33.76928311700004, -118.19330931599995)"
ONE-CLIENT RUN CENTER,90814,8,SA 8 Harbor,OUTPATIENT,"COMMUNITY CLIENT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(562) 434-4455,"2017 EAST 4TH ST.
LONG BEACH, California 90814
(33.771737477000045, -118.16711910299995)"
SSG-SAMOAN NATIONAL NURSES ASSOCIATION,90745,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES",ADULT,"CANTONESE, ENGLISH, JAPANESE, MANDARIN, OTHER CHINESE, SAMOAN, TONGA",NGA,(310) 952-1115,"22010 SOUTH WILLMINGTON AVE.
CARSON, California 90745
(33.827819033000026, -118.24083978899995)"
ALAFIA MENTAL HEALTH INSTITUTE,90248,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, ITALIAN, KOREAN, RUSSIAN, SPANISH, TAGALOG",NGA,(310) 352-6422,"555 WEST REDONDO BEACH BLVD.
GARDENA, California 90248
(33.89323923000006, -118.26580821799996)"
SSG - OTTP,90502,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 323-6887,"19401 VERMONT AVE. STE. A-201
TORRANCE, California 90502
(33.85435032200007, -118.29057227199996)"
SHIELDS FOR FAMILIES,90047,8,SA 8 Harbor,OUTPATIENT,"CALWORKS, MENTAL HEALTH SERVICES",ADULT,"ARMENIAN, CANTONESE, ENGLISH, GREEK, SPANISH, SWEDISH",NGA,(323) 242-5000,"11601 SOUTH WESTERN AVE.
LOS ANGELES, California 90047
(33.92823976100004, -118.30917231799998)"
CHILDREN'S BUREAU,90746,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, FRENCH, SPANISH",NGA,(310) 523-9500,"460 EAST CARSON PLAZA DR. STE. 122
CARSON, California 90746
(33.84588911600002, -118.26638011499995)"
HEALTH VIEW BEHAVIORAL SERVICES CENTER,90731,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH, TAGALOG, YIDDISH, YORUBA",DMH,(310) 984-3055,"921 S. BEACON ST.
SAN PEDRO, California 90731
(33.73578212600006, -118.28049897999995)"
COLLEGE MEDICAL CENTER,90806,8,SA 8 Harbor,INPATIENT,24 HR ACUTE,ADULT,"AMERICAN SIGN, ARMENIAN, ENGLISH, JAPANESE, KOREAN, SPANISH, TAGALOG, VIETNAMESE",FFS,(562) 997-2000,"2776 PACIFIC AVE.
LONG BEACH, California 90806
(33.80730035000005, -118.19363656399997)"
KEDREN ACUTE PSYCHIATRIC HOSPITAL & CMHC,90011,6,SA 6 South,INPATIENT,"24 HR ACUTE, CASE MANAGEMENT, COMMUNITY OUTREACH, COMMUNITY SUPPORT, CRISIS INTERVENTION, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, GREEK, HINDI, JAPANESE, MANDARIN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",NGA,(323) 233-0425,"4211 SOUTH AVALON BLVD.
LOS ANGELES, California 90011
(34.00727897200005, -118.26531026199996)"
PACIFIC ASIAN COUNSELING SERVICES SFV,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"CALO, CAMBODIAN, CANTONESE, CREOLE, ENGLISH, FRENCH, HAITIAN-CREOLE, HEBREW, HMONG, JAPANESE, KHMER, KOREAN, MANDARIN, SPANISH, TAGALOG, TAIWANESE, VIETNAMESE",NGA,(818) 989-9214,"6851 LENNOX AVE. STE. 400
VAN NUYS, California 91405
(34.19542113000006, -118.44549310499997)"
SSG-CAMBODIAN ASSOCIATION OF AMERICA,90806,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES",ADULT/OLDER ADULT,"CAMBODIAN, ENGLISH",NGA,(562) 988-1863,"2501 ATLANTIC AVE.
LONG BEACH, California 90806
(33.80257023400003, -118.18506243499996)"
CHILDREN'S  INSTITUTE INC.,90807,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZE FOSTER CARE",ADULT/CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, KOREAN, MANDARIN, SPANISH, TAGALOG",NGA,(310) 783-4677,"4300 LONG BEACH BLVD. STE. 700
LONG BEACH, California 90807
(33.83646114600003, -118.19004951099998)"
HERITAGE CLINIC FOR SENIORS,90807,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION MANAGEMENT, MENTAL HEALTH SERVICES",OLDER ADULT,"ENGLISH, SPANISH",NGA,(562) 264-6001,"3939 ATLANTIC AVE. STE. 103
LONG BEACH, California 90807
(33.82964079000004, -118.18511198399995)"
HOMES FOR LIFE FOUNDATION-218TH STREET,90501,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(310) 337-7417,"1418 WEST 218TH ST.
TORRANCE, California 90501
(33.83027339300003, -118.30226908499998)"
CHILDREN'S INSTITUTE INC.,90502,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, MARATHI, SERBO-CROATIAN, SPANISH",NGA,(310) 783-4677,"19700 VERMONT AVE. STE. 250
TORRANCE, California 90502
(33.85175077400004, -118.29049622199994)"
BAYFRONT YOUTH AND FAMILY SERVICES,90807,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND",CHILD/TAY,"ENGLISH, SPANISH, TAGALOG",NGA,(562) 595-8111,"900 E. WARDLOW RD.
LONG BEACH, California 90807
(33.81888558400004, -118.18150778899997)"
ALMA FAMILY SERVICES-LONG BEACH,90802,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/OLDER ADULT,"ARABIC, ENGLISH, SPANISH",NGA,(323) 624-1644,"121 LINDEN AVE. STE. B112
LONG BEACH, California 90802
(33.76842345000006, -118.18638135699996)"
EL DORADO - INGLEWOOD,90304,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",ADULT/CHILD/OLDER ADULT/TAY,"ENGLISH, FARSI, SPANISH, TAGALOG",NGA,(310) 671-0555,"4450 WEST CENTURY BLVD.
INGLEWOOD, California 90304
(33.945412849000036, -118.35399962499997)"
MHA TAY ACADEMY,90804,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICAITON SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"BULGARIAN, ENGLISH, JAPANESE, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, THAI, VIETNAMESE",NGA,(562) 284-0108,"2025 EAST 7TH ST.
LONG BEACH, California 90804
(33.775377535000075, -118.16702922499996)"
JFSLA BHS,90249,8,SA 8 Harbor,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,ENGLISH,NGA,(323) 754-2816,"15519 CRENSHAW BLVD.
GARDENA, California 90249
(33.88995306500004, -118.32656852899999)"
SAN PEDRO MENTAL HEALTH CLINIC (MHC),90731,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",DMH,(310) 519-6100,"150 WEST 7TH ST.
SAN PEDRO, California 90731
(33.73785808700006, -118.28100718099995)"
LONG BEACH MENTAL HEALTH SERVICES (MHS) ADULT CLINIC,90806,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, FULL SERVICE PARTNERSHIP, FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",DMH,(562) 599-9280,"1975 LONG BEACH BLVD.
LONG BEACH, California 90806
(33.79322061900007, -118.18950217699995)"
THE GUIDANCE CENTER-SAN PEDRO,90731,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 833-3135,"160 WEST 6TH ST.
SAN PEDRO, California 90731
(33.73875860000004, -118.28090226399996)"
ASIAN PACIFIC COUNSELING & TREATMENT CENTER,90703,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FSP, GROUP COUNSELING, MEDICATION SUPPORT,  MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"CALO, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, IIOCANO,  IIONGOT, JAPANESE, KOREAN, LAO, MANDARIN, PORTUGUESE, SPANISH, SWEDISH,  TAIWANESE, TAGALOG, THAI",NGA,(562) 860-8838,"11050 EAST ARTESIA BLVD. STE. F
CERRITOS, California 90703
(33.87285366300006, -118.09777823999997)"
HOLLYWOOD MENTAL HEALTH CENTER,90038,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, LIFE SUPPORT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, WELLNESS CENTER",ADULT,"ARABIC, ARMENIAN, BULGARIAN, ENGLISH, FARSI, FRENCH, HINDI, KOREAN, RUSSIAN, SPANISH",DMH,(323) 769-6100,"1224 NORTH VINE ST.
LOS ANGELES, California 90038
(34.09332089500003, -118.32659605799995)"
SHIELDS FOR FAMILIES,90805,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY CLIENT, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, GREEK, SPANISH, SWEDISH",NGA,(310) 603-1030,"161 WEST VICTORIA ST.
LONG BEACH, California 90805
(33.86488435100006, -118.20304928899998)"
SHIELDS FOR FAMILIES,90805,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT,COMMUNITY CLIENT, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, GREEK, SPANISH, SWEDISH",NGA,(310) 603-1030,"121 WEST VICTORIA ST. STE. 250
LONG BEACH, California 90805
(33.86490578000007, -118.20106486799995)"
HACIENDA RETIRADA BRIDGES INC.,91304,2,SA 2 San Fernando Valley,RESIDENTIAL,"CASE MANAGEMENT, MENTAL HEALTH SERVICES, TRANSITIONAL RESIDENTIAL",ADULT,ENGLISH,NGA,(818) 999-0143,"8514 TOPANGA CANYON BLVD.
CANOGA PARK, California 91304
(34.22502209700008, -118.60590571399996)"
HARBOR VIEW COMMUNITY SERVICES CENTER,90807,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, JAPANESE, SPANISH",NGA,(562) 981-9392,"850 EAST WARDLOW RD.
LONG BEACH, California 90807
(33.81888558400004, -118.18223108399997)"
ASIAN AMERICAN DRUG ABUSE PROGRAM (AADAP),90249,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 768-8018,"13931 SOUTH VAN NESS AVE.
GARDENA, California 90249
(33.90507031000004, -118.317892874)"
HOMES FOR LIFE FOUNDATION,90501,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(310) 337-7417,"20902 DENKER AVE.
TORRANCE, California 90501
(33.83978087000003, -118.30391684799997)"
LONG BEACH CHILD & ADOLESCENT CLINIC,90806,8,SA 8 Harbor,OUTPATIENT,"BRIEF SHORT TERM THERAPY, FAMILY THERAPY, MENTAL HEALTH SERVICES, PLAY THERAPY, PSYCHOLOGICAL TESTING, SPECIALIZE FOSTER CARE",CHILD/TAY,"ENGLISH, HINDI, SPANISH, VIETNAMESE",DMH,(562) 599-9271,"240 EAST 20TH ST.
LONG BEACH, California 90806
(33.79346090700005, -118.19046868099997)"
SOUTH BAY MENTAL HEALTH SERVICES WELLNESS CENTER,90247,8,SA 8 Harbor,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, MANDARIN, SPANISH, TAGALOG",DMH,(310) 512-8100,"1300 WEST 155TH ST. STE. 103
GARDENA, California 90247
(33.89044324500003, -118.29834902199997)"
COMMUNITY FAMILY GUIDANCE CENTER,90703,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FAMILY COUNSELING, GROUP COUNSELING, INDIVIDUAL COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PEI",CHILD/TAY,"ENGLISH, SPANISH",NGA,(562) 927-5526,"10929 SOUTH ST. STE. 208 B
CERRITOS, California 90703
(33.85836832800004, -118.10144940999999)"
EOB CRISIS & HOMELESS,90059,6,SA 6 South,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FARSI, HEBREW, IIOCANO, JAPANESE, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, THAI, VIETNAMESE",DMH,(310) 668-4435,"1720 EAST 120TH ST. RM. 1123
LOS ANGELES, California 90059
(33.92438370600007, -118.24406041699996)"
ROYBAL FAMILY MENTAL HEALTH SERVICE,90022,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT SUPPORT, CRISIS INTERVENTION, FSP, GROUP COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, OUTPATIENT, PREVENTION AND EARLY INTERVENTION, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ENGLISH, CANTONESE SPANISH",DMH,(323) 767-6400,"4701 CESAR CHAVEZ AVE. 2ND FL.
LOS ANGELES, California 90022
(34.02358052100004, -118.15511747999994)"
LAC-OLIVE VIEW/UCLA MEDICAL CENTER,91342,2,SA 2 San Fernando Valley,INPATIENT,"CRISIS STABILIZATION MODE 10, INPATIENT MODE 5",ADULT,"ENGLISH, FRENCH, GERMAN, HINDI, PUNJABI, RUSSIAN, SPANISH, TAGALOG, URDU",DHS,(818) 364-3432,"14445 OLIVE VIEW DR.
SYLMAR, California 91342
(34.32448821600008, -118.44598282499999)"
WOMEN'S REINTEGRATION SERVICES,90044,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, MANDARIN, SPANISH",DMH,(323) 525-6400,"8300 SOUTH VERMONT AVE.
LOS ANGELES, California 90044
(33.962960949000035, -118.29146644299999)"
VISTA DEL MAR CHILD & FAMILY SERVICE,90064,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, RESIDENTIAL TREATMENT PROGRAM, SPECIALIZED FOSTER CARE",CHILD/TAY,ENGLISH,NGA,(310) 836-1223,"3200 MOTOR AVE.
LOS ANGELES, California 90064
(34.030916769000044, -118.41093617399997)"
CA HISPANIC COMMISSION ALCOHOL & DRUG ABUSE,90031,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 222-4591,"2309 N. DAILY ST.
LOS ANGELES, California 90031
(34.07217076200004, -118.21563247199998)"
STIRLING BEHAVIORAL HEALTH INSTITUTE,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SCHOOL-BASED SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, FARSI, SPANISH",NGA,(818) 376-0134 /FAX: (818) 376-1437,"6931 VAN NUYS BLVD. STE. 102
VAN NUYS, California 91405
(34.19650081800006, -118.44878286999995)"
SAN FERNANDO ADULT FCCS,91344,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FCCS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ARMENIAN, ENGLISH, GREEK, KOREAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",DMH,(818) 488-3888,"10515 BALBOA BLVD. STE. 150
GRANADA HILLS, California 91344
(34.26175108000007, -118.50232249199996)"
MASADA HOMES,90248,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",CHILD/TAY,"ARABIC, ENGLISH, FARSI, JAPANESE, PORTUGESE, SPANISH, VIETNAMESE",NGA,(310) 715-2020,"108 WEST VICTORIA ST.
GARDENA, California 90248
(33.86519444600003, -118.27599821199999)"
MENTAL HEALTH URGENT CARE CENTER,90805,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, REFERRALS AND LINKAGE",ADULT,"ENGLISH, FARSI, MANDARIN, SPANISH, TAGALOG",NGA,(562) 790-1860,"6060 PARAMOUNT BLVD.
LONG BEACH, California 90805
(33.86514028800008, -118.15989660099996)"
1736 FAMILY CRISIS CENTER,90503,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES, SPECIALIZE FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 543-9900,"21707 HAWTHORNE BLVD. STE. 300
TORRANCE, California 90503
(33.830725087000076, -118.35262149599998)"
LONG BEACH MET,90806,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT SUPPORT, COMMUNITY CLIENT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, KOREAN, SPANISH",DMH,(562) 496-8273,"3205 LAKEWOOD BLVD.
LONG BEACH, California 90806
(33.84288944300005, -118.14274634599997)"
